gnn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,wt_auc,micro_auc,macro_auc,Epoch
ClusterGCNConv,0.7223938938582519,0.7250303656491871,0.5527102911946894,0.5610698685478743,0.5567920314951256,0.5955842267251301,0.5384330100442654,0.5046716621098417,0.6048383027141977,0.7088061402442233,0.6160378701839766,0.5329068061800071,0.6300971047036991,0.5894648785159822,0.6852474868228341,0.5617783286349844,0.6179764430149091,0.5545294570550183,0.562942100986676,0.5067720635973092,0.5603950250547604,0.6105735438480293,0.8308900983867338,0.734110364640547,0.7481175113945248,0.6258803819685566,0.707622583584135,0.6164867550241111,1
ClusterGCNConv,0.7606231590245244,0.8014929836571155,0.6131219890506666,0.6221442942850567,0.6897029625242687,0.643203737544209,0.6120320550057108,0.573945325683429,0.676789531194647,0.740041339036354,0.7515083536495037,0.6610626816106269,0.6673828705257756,0.6205434120526662,0.7167164313315374,0.5858529381334444,0.6890840843379604,0.6169359446125167,0.6024475778337972,0.5671200944842734,0.5986896510336964,0.7091157656234425,0.863889176473295,0.7846913822049247,0.8098638490338397,0.6837122085967433,0.7589631055313928,0.6791200635978913,2
ClusterGCNConv,0.7743723894317979,0.8336935046565387,0.6663426128507852,0.650378645466622,0.734340970881157,0.6604196668080059,0.6440790949131605,0.6172452760070837,0.7081381678829877,0.7544710989687017,0.8004711380232586,0.7262966665822155,0.68322357569479,0.6309954140182905,0.7292281796110226,0.6182644596473474,0.7251172408291594,0.6482313921830329,0.624372850555052,0.6182051441437708,0.617112851441774,0.7567661666534313,0.871899388184718,0.7980533011823435,0.8341176294835596,0.7095809909248247,0.7804327986694161,0.7090334730440243,3
ClusterGCNConv,0.7813102171566069,0.8526902831339902,0.7017318451196608,0.6612030524053985,0.7489678979712525,0.6696946631713592,0.6596203007887371,0.6432023040723227,0.7224228080545736,0.7606035059241125,0.8235104218222657,0.7528272466773336,0.6921175254360885,0.6387539994204137,0.7357597302853708,0.6367304593327069,0.7419216874181958,0.6647944236821812,0.6343367724452502,0.6429613360407774,0.6277609745851712,0.772902512625644,0.8761088843861387,0.8038238432928222,0.8445903839956636,0.7219510342773288,0.7903838543489837,0.7236138831697615,4
ClusterGCNConv,0.7852945966402639,0.8659673709229598,0.7180214167584152,0.666712922138142,0.7560139272846323,0.6744438583560413,0.6701449653671377,0.6601170996598498,0.7298532325383186,0.7647296403431249,0.8347274743143508,0.7627056792115638,0.6974093555997978,0.6432110710351643,0.739288155886581,0.6509782203532761,0.7524129911986464,0.6772143417352201,0.6390849036760381,0.6620550329451743,0.6330107720466889,0.7815550282081132,0.8793569448347377,0.8065816348441167,0.8495268257738566,0.7288445257821343,0.7963375099162132,0.7320166984668884,5
ClusterGCNConv,0.7875504911421342,0.8732731973008941,0.7267842995926206,0.6704994907340949,0.7598734992949657,0.6784482594721933,0.678531118104678,0.6718194814699647,0.7340934927775153,0.7671372467802552,0.8425039359589902,0.7675930473296863,0.700427178224316,0.645931522061649,0.7424197575573925,0.6690741276165126,0.7589827913830755,0.6864342722316578,0.6421286938955497,0.6661648916331689,0.6401005190986288,0.7855023899596351,0.8816244246257704,0.8094781939309924,0.8536297083556528,0.7334300448645777,0.8003289068448425,0.7376002412212798,6
ClusterGCNConv,0.7894782664610211,0.8798928733911875,0.7336917830974294,0.6735124764450278,0.7627210268439267,0.6813317112489328,0.6830461967577954,0.6776240296996288,0.7356887333904913,0.7684978237120568,0.8492210475909404,0.7718386677242552,0.7036780685356452,0.6483474153526018,0.7444264191244129,0.6771408668489314,0.7631274611686495,0.6910725791157888,0.6461651926852939,0.6762152418051469,0.6449743451255738,0.7893172225779799,0.8826813384013923,0.8100130961234592,0.8563505579706897,0.7366065763062235,0.8030425040420316,0.7416021776479303,7
ClusterGCNConv,0.7918055989992967,0.8822877558049059,0.7386398188775605,0.6758685433172237,0.765511832455042,0.6830713326574402,0.6881326686176756,0.681524570830505,0.7378298159808837,0.7697600661823817,0.8518480346617028,0.7733520490128631,0.7066813621088128,0.6495370335485976,0.7470136273883037,0.683968708854014,0.7661813371068904,0.6963115192971394,0.6481623546972546,0.6818836075311148,0.6492804632880247,0.7925967642193728,0.8839373427529551,0.8131656175988139,0.8586931314153112,0.7392434639216008,0.8054301100368046,0.7446817982881633,8
ClusterGCNConv,0.7929037616220145,0.8864498339633231,0.7420365165536043,0.677592584997277,0.7669560851424324,0.6852539838413512,0.691446366245582,0.6869519959652189,0.7388092251224753,0.7711164466031398,0.855231208164287,0.775104248478742,0.7077527138579901,0.6517534013020123,0.748299378803948,0.6878427208188591,0.7684041113736936,0.69954276491129,0.6526133940649961,0.6888514773527827,0.6536789990098119,0.7948461690526838,0.8851781462144854,0.8141488302388408,0.8605471648316627,0.7413083414483427,0.8069725442482448,0.7473324611413001,9
ClusterGCNConv,0.7947253939909119,0.8886234404386826,0.7446378568221065,0.6788457550920894,0.7682570232758364,0.6875017409478449,0.6934106261366589,0.6894227305304752,0.7398056244673128,0.7723567991645087,0.8560502665887322,0.7767801982783654,0.7097814758333043,0.6534188464114628,0.749697347075279,0.6912408743606206,0.7702093838618872,0.7046809015960454,0.6547133237025387,0.6891460500324617,0.6565224892729619,0.7973048748756022,0.8861804189529627,0.8159616379505831,0.8627298556823946,0.7430733123359065,0.808516321239118,0.7492801974136651,10
