gnn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,wt_auc,micro_auc,macro_auc,Epoch
ClusterGCNConv,0.7018034385808665,0.6806003186090053,0.5408562061608124,0.5437020213413175,0.5042964172008522,0.5802550427797863,0.5062704659872449,0.49225959113713325,0.5802027615927072,0.6919869209495275,0.5577505090047622,0.4894057625583769,0.6127636450098195,0.5798403042196775,0.6618115323451845,0.5588186522328851,0.5880312038141366,0.5308235855055938,0.558049561222278,0.4975028662992278,0.5503516668166951,0.5755199577258465,0.8074638835069521,0.6993660039404762,0.7228389884464819,0.6025704375518965,0.6772020058670928,0.5925028522795058,1
ClusterGCNConv,0.746662243668156,0.7650345395972318,0.5754048369204388,0.5946379540954321,0.6387159792384768,0.62134727034853,0.5752708679539406,0.5427480119981646,0.6406364073682707,0.7231730092205286,0.6950639456969719,0.5855876924755953,0.6508472426392571,0.608787646380671,0.702957486933696,0.5725730157447839,0.6547777290764627,0.583485934472343,0.5790696780517179,0.5246702029201719,0.577423710504996,0.6704961426102178,0.8510687458197552,0.7667286622087136,0.7851723922064082,0.656699545101476,0.7360870543384979,0.6492936539260373,2
ClusterGCNConv,0.7654067280658184,0.8017842387753394,0.6173581147578175,0.6295413530750774,0.7017651090635618,0.6473039736941124,0.6163194189130231,0.5864419602058345,0.6815048831619225,0.7420000889206664,0.7667588310747265,0.6686014917975173,0.6703174374659984,0.6232134089307204,0.7203914409703618,0.5959292313841209,0.6957958698105461,0.6196715481083939,0.6026768697568492,0.5660405702208777,0.6034206499234854,0.7225885400210525,0.8647358249646271,0.7892470310971726,0.8177927096382706,0.6888136706207506,0.7629884862521058,0.6846642929519158,3
ClusterGCNConv,0.7747708198682776,0.8294648134053889,0.6552608068209852,0.6484606953815166,0.729900915617167,0.6608829247393221,0.6401613749221803,0.6187422025202214,0.7030643099479669,0.7512844159273245,0.7977063493248294,0.719627622290173,0.6808587766562877,0.6312103660008076,0.7286529296482845,0.6137893353855834,0.7220944715914535,0.6438645368513054,0.6185417887866373,0.6051976710455431,0.6191386863504066,0.7512508426952055,0.8703532522509643,0.7982246785870956,0.8332218245609543,0.7069806997671828,0.7778674674107924,0.7058290564470353,4
ClusterGCNConv,0.7799675426427237,0.8467847490032838,0.6854846490804887,0.6569572330569398,0.743601636007345,0.6665381865579814,0.6526336018421839,0.6391212595797608,0.7165608075570395,0.7578602353131187,0.8161951650002239,0.7431229134875672,0.6878404982656774,0.6353230664147659,0.733884809582408,0.6303937117240461,0.7364134169377394,0.6604362428353241,0.6273808723022831,0.6340733910737226,0.6230773847030936,0.7668144093699258,0.8743384326156869,0.8030858568689628,0.8424546442069858,0.717355969483018,0.7868395247569689,0.7184137886411712,5
ClusterGCNConv,0.7831802260717133,0.8570755860180536,0.706721865339993,0.663117926387721,0.7503382827357832,0.6712073534099807,0.6640654488791502,0.6537259155047079,0.7242232624283971,0.7618373368804816,0.8281938110992322,0.7567619405840513,0.6932256519625433,0.6395936460560536,0.7372186725891545,0.6405564602652902,0.7467987194877952,0.6709160674791169,0.6317467613516852,0.6448717417429863,0.628257868995109,0.774836698763709,0.8762608111194923,0.8041651933695005,0.8471236072074149,0.7241471644888411,0.7921410068564998,0.7262408342291647,6
ClusterGCNConv,0.785820879377439,0.864743886831442,0.718425223625818,0.6667610574502071,0.7554565210170953,0.674365266996183,0.669353287058143,0.6621119272525947,0.7290630612948209,0.7643980592610875,0.8348349882926034,0.7627378356203361,0.69660820803383,0.6426865209935079,0.7394144768366426,0.6517198224973675,0.753770955836289,0.6787240012228033,0.6366961569712752,0.6574219883137873,0.6331657514927838,0.7811005219219026,0.8787302573305266,0.8060322839711556,0.8504578439930028,0.7286422320372734,0.7961594818956456,0.7317840313397057,7
ClusterGCNConv,0.7876227554860056,0.874399064865562,0.7259543897731119,0.6691431572663245,0.757795276507585,0.6773361530424694,0.6751511664387221,0.6691957361768933,0.7315553592806703,0.766213787512272,0.8397941243682657,0.7658134012320776,0.6984810690680958,0.6449254429222554,0.7411136814642636,0.6609237676932169,0.7571518314801543,0.6831446981847594,0.6393827963257772,0.6654814692028235,0.6381807543433251,0.78457521403191,0.8804592969465109,0.807095867396432,0.853062560867428,0.7317671512224858,0.7990040531204802,0.7357581128750765,8
ClusterGCNConv,0.7891385038546492,0.8764413939427438,0.7311871895824347,0.6713031510685469,0.7602252615787162,0.6794325858569156,0.6801819542689354,0.6757224874576708,0.7332219841057916,0.7673733855908598,0.8434841935791331,0.7692115865712239,0.7009066369188861,0.6467067645623095,0.743357217908874,0.6661532497976805,0.7611867065352684,0.6876962602201884,0.64091843827376,0.6683439697208293,0.6421626609055721,0.7876201104669925,0.881041449951275,0.8089947651627866,0.8548822702118986,0.7343150398763759,0.8011352925777387,0.7386757671237576,9
ClusterGCNConv,0.7902663384272935,0.8799814546315233,0.7342034195674612,0.6729706836011822,0.7620114634389368,0.6814759612132295,0.684170217576729,0.6778767723268628,0.7350729019191069,0.7686107892525764,0.8462244363626341,0.7711222943954952,0.7028460542713724,0.6480806345879428,0.7446500521666721,0.6718495550387135,0.7634268225166556,0.6920261742111752,0.6432612732081331,0.674786926912823,0.6445793200708134,0.7906586708478992,0.8823092041799984,0.8106012778252489,0.8572195083085595,0.7363986228300017,0.8029085750337901,0.7412112882743616,10
